name,movie
Laurie Kerr,Blade Runner
Laurie Kerr,The Shining
Laurie Kerr,Children of Men
Laurie Kerr,Sleepy Hollow
Laurie Kerr,Alien³
Steven Poster,'Round Miles: A Miles Davis Documentary
Steven Poster,For Madmen Only: The Stories of Del Close
Steven Poster,Amityville: The Awakening
Steven Poster,Hemlock Grove
Steven Poster,Flypaper
Steven Poster,Cats & Dogs: The Revenge of Kitty Galore
Steven Poster,The Box
Steven Poster,Spread
Steven Poster,Southland Tales
Steven Poster,Daddy Day Care
Steven Poster,Stuart Little 2
Steven Poster,Donnie Darko
Steven Poster,The Rage: Carrie 2
Steven Poster,Half a Chance
Steven Poster,American Experience: A Midwife's Tale
Steven Poster,RocketMan
Steven Poster,Color of Justice
Steven Poster,Once You Meet a Stranger
Steven Poster,Nunzio's Second Cousin
Steven Poster,The Cemetery Club
Steven Poster,Life Stinks
Steven Poster,Rocky V
Steven Poster,Madonna: The Immaculate Collection
Steven Poster,Disneyland's 35th Anniversary Special
Steven Poster,Next of Kin
Steven Poster,Big Top Pee-wee
Steven Poster,Aloha Summer
Steven Poster,Someone to Watch Over Me
Steven Poster,The Boy Who Could Fly
Steven Poster,Blue City
Steven Poster,The New Kids
Steven Poster,Starman
Steven Poster,Testament
Steven Poster,Strange Brew
Steven Poster,The Cradle Will Fall
Steven Poster,Spring Break
Steven Poster,Blade Runner
Steven Poster,Mysterious Two
Steven Poster,Dead & Buried
Steven Poster,Blood Beach
Steven Poster,The Night Rider
Steven Poster,The Grass Is Always Greener Over the Septic Tank
Steven Poster,Close Encounters of the Third Kind
Steven Poster,Walking with Dinosaurs: Prehistoric Planet 3D
Steven Poster,Opportunity Knocks
Steven Poster,Coward of the County
Steven Poster,"Beggarman, Thief"
Steven Poster,Who Is Bill Rebane?
Steven Poster,It's a Madcap World: The Making of an Unfinished Film
Steven Poster,No Subtitles Necessary: Laszlo & Vilmos
Harrison Ford,The Miserable Adventures of Burt Squire
Brian Tufano,Sex & Drugs & Rock & Roll
Brian Tufano,My Zinc Bed
Brian Tufano,Adulthood
Brian Tufano,I Could Never Be Your Woman
Brian Tufano,Kidulthood
